Record Length,9216,,Source,CH1
Sample Interval,0.0013020833750,,Second,Volt
Vertical Units,CH1:V,,-9.21600000000,0.02400
Vertical Scale,CH1:0.20,,-9.21400000000,-0.00800
Vertical Offset,CH1:0.00,,-9.21200000000,0.00800
Horizontal Units,s,,-9.21000000000,0.00
Horizontal Scale,1.0000000000,,-9.20800000000,-0.00800
Model Number,WaveAce232,,-9.20599900000,0.01600
Serial Number,LCRY2106C00077,,-9.20400000000,-0.02400
Software Version,2.06.02.11,,-9.20200000000,-0.05600
,,,-9.20000000000,-0.05600
,,,-9.19800000000,-0.08000
,,,-9.19600000000,-0.05600
,,,-9.19400000000,-0.06400
,,,-9.19199900000,-0.05600
,,,-9.19000000000,-0.02400
,,,-9.18800000000,-0.06400
,,,-9.18600000000,-0.10400
,,,-9.18400000000,-0.09600
,,,-9.18200000000,-0.11200
,,,-9.18000000000,-0.08000
,,,-9.17799900000,-0.08000
,,,-9.17600000000,-0.09600
,,,-9.17400000000,-0.09600
,,,-9.17200000000,-0.08800
,,,-9.17000000000,-0.11200
,,,-9.16800000000,-0.05600
,,,-9.16599900000,-0.04800
,,,-9.16400000000,-0.04800
,,,-9.16200000000,-0.04000
,,,-9.16000000000,-0.05600
,,,-9.15800000000,-0.01600
,,,-9.15600000000,-0.01600
,,,-9.15400000000,-0.00800
,,,-9.15199900000,-0.00800
,,,-9.15000000000,-0.03200
,,,-9.14800000000,0.04800
,,,-9.14600000000,0.03200
,,,-9.14400000000,-0.03200
,,,-9.14200000000,0.03200
,,,-9.14000000000,0.02400
,,,-9.13800000000,0.08000
,,,-9.13600000000,0.08000
,,,-9.13400000000,0.05600
,,,-9.13200000000,0.06400
,,,-9.13000000000,0.05600
,,,-9.12800000000,0.06400
,,,-9.12599900000,0.04800
,,,-9.12400000000,0.04800
,,,-9.12200000000,0.03200
,,,-9.12000000000,0.05600
,,,-9.11800000000,0.02400
,,,-9.11600000000,0.00800
,,,-9.11400000000,0.02400
,,,-9.11200000000,0.02400
,,,-9.11000000000,-0.00800
,,,-9.10800000000,0.03200
,,,-9.10600000000,-0.01600
,,,-9.10400000000,-0.02400
,,,-9.10200000000,-0.02400
,,,-9.10000000000,-0.05600
,,,-9.09800000000,-0.04800
,,,-9.09600000000,-0.08800
,,,-9.09400000000,-0.09600
,,,-9.09200000000,-0.07200
,,,-9.09000000000,-0.10400
,,,-9.08800000000,-0.08800
,,,-9.08599900000,-0.12800
,,,-9.08400000000,-0.09600
,,,-9.08200000000,-0.10400
,,,-9.08000000000,-0.14400
,,,-9.07800000000,-0.07200
,,,-9.07600000000,-0.10400
,,,-9.07400000000,-0.04800
,,,-9.07200000000,-0.06400
,,,-9.07000000000,-0.08000
,,,-9.06800000000,-0.06400
,,,-9.06600000000,-0.06400
,,,-9.06400000000,-0.04800
,,,-9.06200000000,-0.05600
,,,-9.06000000000,-0.03200
,,,-9.05800000000,-0.00800
,,,-9.05600000000,-0.01600
,,,-9.05400000000,0.00800
,,,-9.05200000000,-0.03200
,,,-9.05000000000,-0.00800
,,,-9.04800000000,-0.00800
,,,-9.04600000000,0.04000
,,,-9.04400000000,0.03200
,,,-9.04200000000,0.04000
,,,-9.04000000000,0.05600
,,,-9.03800000000,0.04000
,,,-9.03600000000,0.03200
,,,-9.03400000000,0.05600
,,,-9.03200000000,0.03200
,,,-9.03000000000,0.06400
,,,-9.02800000000,0.08000
,,,-9.02600000000,0.08800
,,,-9.02400000000,0.08800
,,,-9.02200000000,0.08800
,,,-9.02000000000,0.08800
,,,-9.01800000000,0.08800
,,,-9.01600000000,-0.00800
,,,-9.01400000000,-0.02400
,,,-9.01200000000,-0.00800
,,,-9.01000000000,-0.03200
,,,-9.00800000000,-0.06400
,,,-9.00600000000,-0.04800
,,,-9.00400000000,-0.06400
,,,-9.00200000000,-0.08800
,,,-9.00000000000,-0.09600
,,,-8.99800000000,-0.08800
,,,-8.99600000000,-0.05600
,,,-8.99400000000,-0.13600
,,,-8.99200000000,-0.10400
,,,-8.99000000000,-0.05600
,,,-8.98800000000,-0.12000
,,,-8.98600000000,-0.06400
,,,-8.98400000000,-0.10400
,,,-8.98200000000,-0.08800
,,,-8.98000000000,-0.08000
,,,-8.97800000000,-0.09600
,,,-8.97600000000,-0.06400
,,,-8.97400000000,-0.05600
,,,-8.97200000000,-0.04000
,,,-8.97000000000,-0.04800
,,,-8.96800000000,-0.08000
,,,-8.96600000000,0.00
,,,-8.96400000000,-0.00800
